代码,name,ts_code,exchange,最新价,cats,命中数
000925,众合科技,000925.SZ,SZSE,10.76,"['大模型', '智能驾驶', '机器人', '算力租赁']",4
000938,紫光股份,000938.SZ,SZSE,31.84,"['CPO', '大模型', '数字经济', '算力租赁']",4
002195,岩山科技,002195.SZ,SZSE,8.96,"['AIGC', '大模型', '智能驾驶', '机器人']",4
002197,证通电子,002197.SZ,SZSE,8.31,"['大模型', '数字经济', '机器人', '算力租赁']",4
002230,科大讯飞,002230.SZ,SZSE,49.47,"['AIGC', '大模型', '智能驾驶', '机器人']",4
002236,大华股份,002236.SZ,SZSE,18.05,"['大模型', '智能驾驶', '机器人', '算力租赁']",4
002354,天娱数科,002354.SZ,SZSE,6.58,"['AIGC', '大模型', '数字经济', '机器人']",4
002579,中京电子,002579.SZ,SZSE,13.37,"['CPO', '大模型', '智能驾驶', '机器人']",4
002657,中科金财,002657.SZ,SZSE,21.76,"['AIGC', '大模型', '数字经济', '算力租赁']",4
002881,美格智能,002881.SZ,SZSE,41.73,"['大模型', '智能驾驶', '机器人', '算力租赁']",4
600100,同方股份,600100.SH,SSE,9.12,"['大模型', '数字经济', '机器人', '算力租赁']",4
601138,工业富联,601138.SH,SSE,64.31,"['CPO', '大模型', '机器人', '算力租赁']",4
603466,风语筑,603466.SH,SSE,10.46,"['AIGC', '大模型', '数字经济', '机器人']",4
000034,神州数码,000034.SZ,SZSE,41.65,"['大模型', '数字经济', '智能驾驶']",3
000157,中联重科,000157.SZ,SZSE,7.99,"['大模型', '机器人', '算力租赁']",3
000555,神州信息,000555.SZ,SZSE,14.48,"['AIGC', '大模型', '数字经济']",3
000560,我爱我家,000560.SZ,SZSE,3.37,"['AIGC', '大模型', '数字经济']",3
000625,长安汽车,000625.SZ,SZSE,9.21,"['大模型', '智能驾驶', '机器人']",3
000967,盈峰环境,000967.SZ,SZSE,14.16,"['智能驾驶', '机器人', '算力租赁']",3
000977,浪潮信息,000977.SZ,SZSE,74.08,"['大模型', '数字经济', '算力租赁']",3
001230,劲旅环境,001230.SZ,SZSE,29.15,"['大模型', '智能驾驶', '机器人']",3
001339,智微智能,001339.SZ,SZSE,103.64,"['大模型', '机器人', '算力租赁']",3
001388,信通电子,001388.SZ,SZSE,39.53,"['大模型', '机器人', '算力租赁']",3
002044,美年健康,002044.SZ,SZSE,6.18,"['AIGC', '大模型', '机器人']",3
002065,东华软件,002065.SZ,SZSE,8.6,"['大模型', '智能驾驶', '算力租赁']",3
002090,金智科技,002090.SZ,SZSE,11.54,"['大模型', '数字经济', '机器人']",3
002139,拓邦股份,002139.SZ,SZSE,11.03,"['大模型', '智能驾驶', '机器人']",3
002212,天融信,002212.SZ,SZSE,7.56,"['大模型', '数字经济', '算力租赁']",3
002229,鸿博股份,002229.SZ,SZSE,17.55,"['大模型', '数字经济', '算力租赁']",3
002265,建设工业,002265.SZ,SZSE,23.8,"['大模型', '智能驾驶', '机器人']",3
002279,久其软件,002279.SZ,SZSE,7.91,"['AIGC', '大模型', '数字经济']",3
002298,中电鑫龙,002298.SZ,SZSE,11.4,"['大模型', '数字经济', '算力租赁']",3
002313,日海智能,002313.SZ,SZSE,10.15,"['大模型', '智能驾驶', '算力租赁']",3
002355,兴民智通,002355.SZ,SZSE,6.65,"['大模型', '智能驾驶', '算力租赁']",3
002362,汉王科技,002362.SZ,SZSE,19.09,"['大模型', '智能驾驶', '机器人']",3
002373,千方科技,002373.SZ,SZSE,9.11,"['AIGC', '大模型', '智能驾驶']",3
002396,星网锐捷,002396.SZ,SZSE,32.78,"['CPO', '大模型', '数字经济']",3
002398,垒知集团,002398.SZ,SZSE,5.06,"['AIGC', '大模型', '数字经济']",3
002413,雷科防务,002413.SZ,SZSE,13.45,"['大模型', '智能驾驶', '算力租赁']",3
002415,海康威视,002415.SZ,SZSE,35.04,"['大模型', '智能驾驶', '机器人']",3
002444,巨星科技,002444.SZ,SZSE,35.28,"['大模型', '智能驾驶', '机器人']",3
002587,奥拓电子,002587.SZ,SZSE,7.24,"['AIGC', '大模型', '机器人']",3
002602,世纪华通,002602.SZ,SZSE,15.5,"['AIGC', '大模型', '算力租赁']",3
002611,东方精工,002611.SZ,SZSE,18.77,"['大模型', '智能驾驶', '机器人']",3
002649,博彦科技,002649.SZ,SZSE,10.76,"['AIGC', '大模型', '智能驾驶']",3
002803,吉宏股份,002803.SZ,SZSE,22.19,"['AIGC', '大模型', '数字经济']",3
002829,星网宇达,002829.SZ,SZSE,23.29,"['大模型', '智能驾驶', '机器人']",3
002845,同兴达,002845.SZ,SZSE,14.9,"['大模型', '智能驾驶', '机器人']",3
002862,实丰文化,002862.SZ,SZSE,19.27,"['AIGC', '大模型', '机器人']",3
002869,金溢科技,002869.SZ,SZSE,20.43,"['大模型', '数字经济', '智能驾驶']",3
002878,元隆雅图,002878.SZ,SZSE,19.88,"['AIGC', '大模型', '数字经济']",3
002889,东方嘉盛,002889.SZ,SZSE,13.27,"['大模型', '数字经济', '机器人']",3
003007,直真科技,003007.SZ,SZSE,49.35,"['大模型', '数字经济', '算力租赁']",3
003013,地铁设计,003013.SZ,SZSE,13.69,"['大模型', '数字经济', '智能驾驶']",3
600704,物产中大,600704.SH,SSE,5.18,"['大模型', '数字经济', '机器人']",3
600718,东软集团,600718.SH,SSE,9.26,"['AIGC', '大模型', '智能驾驶']",3
600756,浪潮软件,600756.SH,SSE,17.19,"['AIGC', '大模型', '数字经济']",3
600797,浙大网新,600797.SH,SSE,9.19,"['大模型', '数字经济', '算力租赁']",3
600839,四川长虹,600839.SH,SSE,8.68,"['大模型', '数字经济', '机器人']",3
600880,博瑞传播,600880.SH,SSE,5.31,"['AIGC', '大模型', '数字经济']",3
600959,江苏有线,600959.SH,SSE,4.0,"['AIGC', '大模型', '算力租赁']",3
600986,浙文互联,600986.SH,SSE,10.7,"['AIGC', '大模型', '算力租赁']",3
601609,金田股份,601609.SH,SSE,12.21,"['大模型', '机器人', '算力租赁']",3
603000,人民网,603000.SH,SSE,20.01,"['AIGC', '大模型', '算力租赁']",3
603018,华设集团,603018.SH,SSE,7.58,"['AIGC', '大模型', '智能驾驶']",3
603019,中科曙光,603019.SH,SSE,99.38,"['大模型', '数字经济', '算力租赁']",3
603123,翠微股份,603123.SH,SSE,11.84,"['大模型', '数字经济', '智能驾驶']",3
603322,超讯通信,603322.SH,SSE,35.66,"['AIGC', '大模型', '算力租赁']",3
603602,纵横通信,603602.SH,SSE,13.59,"['AIGC', '数字经济', '算力租赁']",3
603611,诺力股份,603611.SH,SSE,19.77,"['大模型', '智能驾驶', '机器人']",3
603613,国联股份,603613.SH,SSE,27.72,"['大模型', '数字经济', '算力租赁']",3
603633,徕木股份,603633.SH,SSE,8.29,"['大模型', '智能驾驶', '机器人']",3
603636,南威软件,603636.SH,SSE,11.15,"['大模型', '数字经济', '算力租赁']",3
603686,福龙马,603686.SH,SSE,19.43,"['大模型', '智能驾驶', '机器人']",3
603956,威派格,603956.SH,SSE,5.93,"['大模型', '数字经济', '机器人']",3
605111,新洁能,605111.SH,SSE,48.91,"['智能驾驶', '机器人', '算力租赁']",3
605168,三人行,605168.SH,SSE,54.65,"['AIGC', '大模型', '数字经济']",3
000035,中国天楹,000035.SZ,SZSE,6.43,"['大模型', '机器人']",2
000063,中兴通讯,000063.SZ,SZSE,38.83,"['大模型', '算力租赁']",2
000090,天健集团,000090.SZ,SZSE,3.61,"['大模型', '机器人']",2
000425,徐工机械,000425.SZ,SZSE,10.65,"['大模型', '机器人']",2
000551,创元科技,000551.SZ,SZSE,17.12,"['智能驾驶', '机器人']",2
000681,视觉中国,000681.SZ,SZSE,22.29,"['AIGC', '大模型']",2
000723,美锦能源,000723.SZ,SZSE,4.14,"['智能驾驶', '机器人']",2
000810,创维数字,000810.SZ,SZSE,12.75,"['AIGC', '大模型']",2
000818,航锦科技,000818.SZ,SZSE,17.66,"['大模型', '算力租赁']",2
000826,启迪环境,000826.SZ,SZSE,2.08,"['大模型', '智能驾驶']",2
000892,欢瑞世纪,000892.SZ,SZSE,4.54,"['AIGC', '大模型']",2
000988,华工科技,000988.SZ,SZSE,146.14,"['CPO', '机器人']",2
001266,宏英智能,001266.SZ,SZSE,45.01,"['智能驾驶', '机器人']",2
002015,协鑫能科,002015.SZ,SZSE,21.18,"['大模型', '算力租赁']",2
002031,巨轮智能,002031.SZ,SZSE,7.16,"['大模型', '机器人']",2
002036,联创电子,002036.SZ,SZSE,8.59,"['智能驾驶', '机器人']",2
002049,紫光国微,002049.SZ,SZSE,80.43,"['大模型', '算力租赁']",2
002093,国脉科技,002093.SZ,SZSE,8.63,"['大模型', '数字经济']",2
002111,威海广泰,002111.SZ,SZSE,11.38,"['智能驾驶', '机器人']",2
002117,东港股份,002117.SZ,SZSE,10.29,"['机器人', '算力租赁']",2
002123,梦网科技,002123.SZ,SZSE,9.8,"['大模型', '数字经济']",2
002126,银轮股份,002126.SZ,SZSE,50.78,"['智能驾驶', '机器人']",2
002131,利欧股份,002131.SZ,SZSE,6.79,"['AIGC', '大模型']",2
002148,北纬科技,002148.SZ,SZSE,8.2,"['数字经济', '机器人']",2
002162,悦心健康,002162.SZ,SZSE,4.43,"['大模型', '机器人']",2
002179,中航光电,002179.SZ,SZSE,41.49,"['CPO', '机器人']",2
002185,华天科技,002185.SZ,SZSE,14.62,"['CPO', '大模型']",2
002204,大连重工,002204.SZ,SZSE,6.57,"['智能驾驶', '机器人']",2
002226,江南化工,002226.SZ,SZSE,5.48,"['大模型', '机器人']",2
002249,大洋电机,002249.SZ,SZSE,9.67,"['AIGC', '机器人']",2
002261,拓维信息,002261.SZ,SZSE,34.18,"['大模型', '机器人']",2
002268,电科网安,002268.SZ,SZSE,16.16,"['大模型', '数字经济']",2
002273,水晶光电,002273.SZ,SZSE,38.3,"['智能驾驶', '机器人']",2
002315,焦点科技,002315.SZ,SZSE,31.8,"['AIGC', '大模型']",2
002316,亚联发展,002316.SZ,SZSE,5.7,"['大模型', '数字经济']",2
