ts_code,name,exchange,申万一级,申万二级,营收同比_2025A,净利润同比_2025A,净利润_2025A,营收同比_2026Q1,净利润同比_2026Q1,净利润_2026Q1,min_yoy,trade_date,final_rating,pm_summary,pm_price_target,pm_time_horizon,trader_action,trader_entry,trader_stop,trader_sizing,rm_recommendation,final_rating_opus,pm_summary_opus,pm_price_target_opus,pm_time_horizon_opus,trader_action_opus,rm_recommendation_opus,md_path,opus_md_path
002468.SZ,申通快递,SZSE,交通运输,物流,17.8434907054,31.61,1368631017.22,30.7354101044,94.29,458588281.91,17.8434907054,,,,,,,,,,,,,,,,,,
600428.SH,中远海特,SSE,交通运输,航运港口,38.3207737416,16.29,1779972016.0,26.0013983558,17.53,405873514.87,16.29,,,,,,,,,,,,,,,,,,
601872.SH,招商轮船,SSE,交通运输,航运港口,9.2170471133,17.71,6012096267.97,52.9177300121,219.31,2763413437.55,9.2170471133,,,,,,,,,,,,,,,,,,
600233.SH,圆通速递,SSE,交通运输,物流,9.0452547296,7.73,4322350576.04,10.0138365553,60.76,1377557296.1,7.73,,,,,,,,,,,,,,,,,,
000088.SZ,盐田港,SZSE,交通运输,航运港口,8.1614723753,7.28,1447533202.29,13.2476583812,8.85,340519919.56,7.28,,,,,,,,,,,,,,,,,,
000089.SZ,深圳机场,SZSE,交通运输,航空机场,8.2088501386,18.55,525205361.13,7.077000646,58.51,258150122.31,7.077000646,,,,,,,,,,,,,,,,,,
603713.SH,密尔克卫,SSE,交通运输,物流,10.0417384357,10.86,626553239.91,12.0215740165,7.07,184410239.1,7.07,,,,,,,,,,,,,,,,,,
002352.SZ,顺丰控股,SZSE,交通运输,物流,8.3702211735,9.31,11117216000.0,6.1448842808,13.05,2525728000.0,6.1448842808,,,,,,,,,,,,,,,,,,
601333.SH,广深铁路,SSE,交通运输,铁路公路,5.8905613564,34.49,1425789018.0,7.1816480512,23.8,579619153.0,5.8905613564,,,,,,,,,,,,,,,,,,
600221.SH,海航控股,SSE,交通运输,航空机场,4.9589489836,314.8885820481,1979588000.0,4.9546513584,533.63,1725206000.0,4.9546513584,,,,,,,,,,,,,,,,,,
600029.SH,南方航空,SSE,交通运输,航空机场,4.6101570392,150.5306603774,857000000.0,10.079019513,298.2597054886,1481000000.0,4.6101570392,,,,,,,,,,,,,,,,,,
002040.SZ,南京港,SZSE,交通运输,航运港口,4.1385281107,20.73,184781796.01,13.6445232655,27.83,51269426.81,4.1385281107,,,,,,,,,,,,,,,,,,
600179.SH,安通控股,SSE,交通运输,航运港口,20.2783965778,77.9,1085990512.68,3.8343509529,5.12,253814999.38,3.8343509529,,,,,,,,,,,,,,,,,,
002928.SZ,华夏航空,SZSE,交通运输,航空机场,11.3585229021,133.57,625910360.24,2.8036510153,63.51,134040691.16,2.8036510153,,,,,,,,,,,,,,,,,,
601880.SH,辽港股份,SSE,交通运输,航运港口,2.6405442395,14.23,1306790239.41,3.1033152586,75.87,359184777.61,2.6405442395,,,,,,,,,,,,,,,,,,
601816.SH,京沪高铁,SSE,交通运输,铁路公路,2.1465724493,3.16,13171912357.24,3.2863316356,6.03,3142632759.73,2.1465724493,,,,,,,,,,,,,,,,,,
001872.SZ,招商港口,SZSE,交通运输,航运港口,6.9159993254,2.1,4611352247.98,4.5849854567,3.78,1131939432.33,2.1,,,,,,,,,,,,,,,,,,
601021.SH,春秋航空,SSE,交通运输,航空机场,7.2980478118,1.96,2317401673.0,14.158256146,45.15,982830048.0,1.96,,,,,,,,,,,,,,,,,,
603885.SH,吉祥航空,SSE,交通运输,航空机场,1.830632094,13.71,1039638382.35,4.5069117364,27.69,440529835.69,1.830632094,,,,,,,,,,,,,,,,,,
601326.SH,秦港股份,SSE,交通运输,航运港口,1.7513108365,2.64,1606251547.62,3.9267870997,1.69,427703505.29,1.69,,,,,,,,,,,,,,,,,,
000099.SZ,中信海直,SZSE,交通运输,航空机场,3.330811524,1.79,308669167.81,1.389645602,2.11,93135582.82,1.389645602,,,,,,,,,,,,,,,,,,
600009.SH,上海机场,SSE,交通运输,航空机场,7.9020417211,9.45,2116775136.25,0.8145837655,11.33,577796194.02,0.8145837655,,,,,,,,,,,,,,,,,,
601156.SH,东航物流,SSE,交通运输,物流,0.8677582986,0.02,2688045084.23,18.8054487045,6.05,578272169.25,0.02,,,,,,,,,,,,,,,,,,
603444.SH,吉比特,SSE,传媒,游戏Ⅱ,67.8894040089,89.82,1793666076.8,62.6671899461,82.68,517544467.11,62.6671899461,,,,,,,,,,,,,,,,,,
002602.SZ,世纪华通,SZSE,传媒,游戏Ⅱ,67.5456612092,362.02,5605170994.45,35.1855421478,50.18,2027304123.18,35.1855421478,2026-05-12,Underweight,在16.0-16.5区间反弹时减持30-50%仓位，保留50-70%核心仓位以捕捉长期基本面价值。硬止损设在14.50元，若跌破则全部离场，因该位置可能触发37.4亿融资盘的被动平仓连锁反应。减持资金不急于回补，等待技术面（RSI跌破30后回升至35+、放量收阳）和资金面（主力净流入连续2日超1亿）双重信号确认后，再分批接回。减持窗口1-2周，重新入场观察期1-3个月。,14.0,1-3个月（减持执行期），12-18个月（基本面兑现期） ---,Sell,16.5,14.5,"Reduce position by 30-50% — sell into bounces toward 16-16.5 RMB range, do not chase the stock down. FINAL TRANSACTION PROPOSAL: **SELL** ---",Underweight,,,,,,,analyses/世纪华通_002602_2026-05-12.md,
002558.SZ,巨人网络,SZSE,传媒,游戏Ⅱ,72.6873885122,23.13,1754514184.37,221.7004406829,210.58,1080400017.37,23.13,,,,,,,,,,,,,,,,,,
603598.SH,引力传媒,SSE,传媒,广告营销,31.7108140106,194.5859511696,17124858.25,11.6666920185,37.73,10388526.16,11.6666920185,,,,,,,,,,,,,,,,,,
002517.SZ,恺英网络,SZSE,传媒,游戏Ⅱ,4.0401922723,16.9,1903626612.4,64.1938460501,50.65,780567992.15,4.0401922723,,,,,,,,,,,,,,,,,,
603888.SH,新华网,SSE,传媒,数字媒体,4.2199527041,40.74,329221880.72,6.544156375,1.85,39371952.75,1.85,,,,,,,,,,,,,,,,,,
600825.SH,新华传媒,SSE,传媒,出版,1.3132854111,4.45,42257766.35,0.7322159889,35.02,1318237.81,0.7322159889,,,,,,,,,,,,,,,,,,
002256.SZ,兆新股份,SZSE,公用事业,电力,43.3973402152,129.71,42587745.48,22.1751022191,351.88,10721843.28,22.1751022191,,,,,,,,,,,,,,,,,,
600995.SH,南网储能,SSE,公用事业,电力,19.4919212025,49.89,1688500849.52,18.8012206152,21.34,453818260.94,18.8012206152,,,,,,,,,,,,,,,,,,
002039.SZ,黔源电力,SZSE,公用事业,电力,69.9796833041,175.02,600128761.6,16.7199127711,72.09,89223352.27,16.7199127711,,,,,,,,,,,,,,,,,,
605580.SH,恒盛能源,SSE,公用事业,电力,25.3852402776,14.2,155997196.12,39.7499695711,14.67,48601808.91,14.2,,,,,,,,,,,,,,,,,,
